tickLower,tickUpper,amount_WHYPE,amount_USD₮0,liquidityGross
-242150,-242100,-1.2548311671376355,38.34916274321318,2774930969750411
-242100,-242080,-0.012526584425489592,0.38416979342932583,69374463512410
-242080,-242010,-0.027869203774771815,0.8585573941419944,44197773787265
-242010,-242000,-0.007251604326238594,0.22429312519973113,80663439376539
-242000,-241980,-0.004924352117097632,0.15253951868832075,27408636515773
-241980,-241940,-0.24310338315750146,7.55313232161877,677564578009077
-241940,-241930,-0.0013742368214736042,0.042803901218190755,15339958050801
-241930,-241910,-0.14064758623150775,4.387382156784029,785580273930767
-241910,-241890,-0.48324651104914274,15.104642616630615,2701850323302160
-241890,-241880,-0.0003047684540536814,0.00954032452888017,3410501815676
-241880,-241860,-0.042817292277252304,1.342343748929459,239752512906971
-241860,-241830,-0.0084960247859968,0.2670213565259632,31754940136866
-241830,-241820,-0.6328437153312215,19.929446822050004,7103094013636847
-241820,-241750,-0.021242591231738737,0.6716505208605363,34129417165904
-241750,-241740,-0.04092750425283198,1.2992365127176662,461215022682495
-241740,-241730,-0.9981102879316308,31.716536801715247,11253402455508038
-241730,-241670,-0.36732674164444185,11.713312465752932,691459000136403
-241670,-241660,-0.004825757158004338,0.1544232187516413,54599760411337
-241660,-241650,-0.2865374206439335,9.17831073676882,3243573600049203
-241650,-241640,-0.011292619486123106,0.3620848692884027,127895198618915
-241640,-241630,-0.6494438990245314,20.84450549620664,7358991883578285
-241630,-241610,-0.003658620564384574,0.11760309072460035,20743868423516
-241610,-241600,-0.006406232684097534,0.20623172882323604,72699395653762
-241600,-241570,-0.5472518575689791,17.652595249364154,2072184009354925
-241570,-241560,-0.14022352868200735,4.532217636649677,1594474320157468
-241560,-241540,-0.008629713085419845,0.2793428956255782,49100813717549
-241540,-241530,-0.6513820978773185,21.116819198703126,7417949373471168
-241530,-241520,-9.213527722297556e-05,0.0029898741108072197,1049762681447
-241520,-241470,-0.016435691452044432,0.5349556191485018,37508911285473
-241470,-241450,-0.002630002858691438,0.08590252889923873,15031515902424
-241450,-241420,-1.8908614371275225,61.91489139277316,7213695798443555
-241420,-241380,-1.5032069420660679,49.39399325482799,4308619088770767
-241380,-241370,-0.3098245376652672,10.206030399229196,3556624688921981
-241370,-241360,-0.3301376112207986,10.886049996533133,3791703500572552
-241360,-241350,-5.7785869552501286,190.73537417639412,66401540378863387
-241350,-241340,-1.7076847987907149,56.422402934830416,19632759667863416
-241340,-241330,-0.00010959647787347403,0.0036247222668012425,1260629226133
-241330,-241320,-0.008200355025776289,0.27148451687274117,94371436457767
-241320,-241310,-0.0008933114013482412,0.029603943100791726,10285559570949
-241310,-241300,-0.003009659778606286,0.09983857208756343,34670458708779
-241300,-241290,-0.00020303766269246925,0.0067420479158992914,2340108127581
-241290,-241260,-0.16466871105306333,5.478918761927265,633261940793142
-241260,-241250,-0.06924264078782674,2.3084790799605663,799652847232778
-241250,-241240,-1.0999036640687583,36.706353441417285,12708656763421345
-241240,-241230,-0.003031324845056975,0.10126359586066189,35042462480734
-241230,-241190,-0.012795549402840662,0.4285144642855785,37025749426160
-241190,-241180,-0.10339690530080872,3.471360922632721,1198271859307015
-241180,-241170,-0.0121003957317543,0.40665496242268145,140302215831092
-241170,-241160,-0.10503472971714549,3.5334072648549046,1218470488226952
-241160,-241140,-0.8816390536031756,29.70318391359896,5117626749071633
-241140,-241130,-0.023071047324232027,0.7784503240281614,268040742219960
-241130,-241110,-0.28400422359435884,9.597095172077085,1651026317113232
-241110,-241100,-0.02414948636312931,0.8172864715999512,280991258303814
-241100,-241080,-2.426032409895966,82.22699507633965,14124634051952609
-241080,-241070,-0.040989178032760976,1.3913565591278365,477645322911002
-241070,-241060,-0.9398102197871123,31.93329010612629,10957049405054822
-241060,-241050,-3.3463187274082813,113.81646158325951,39033536139156713
-241050,-241020,-1.02928211548837,35.078478510807166,4006065090449302
-241020,-241010,-0.0018970897958682305,0.0647832534895619,22173131185748
-241010,-241000,-0.027413941401798245,0.9370885250475954,320573600467482
-241000,-240990,-0.3641605693830196,12.460524742924589,4260556516522951
-240990,-240970,-0.0604841050206895,2.0726982486416614,354087312303446
-240970,-240960,-0.009989419474946581,0.34283604877145857,117048289301953
-240960,-240940,-0.017644311324165125,0.6064602658989141,103448745337172
-240940,-240930,-2.307733215125838,79.43916123612847,27080821238575018
-240930,-240920,-0.6016912213835468,20.732754114288724,7064265954165878
-240920,-240910,-0.010062195705139497,0.34706462869168947,118196131402114
-240910,-240900,-0.5482850207831287,18.930332775052236,6443680815560503
-240900,-240890,-0.0006970453199623747,0.024090574436358668,8196072486857
-240890,-240880,-9.394465658951825e-05,0.003250068362893586,1105182487725
-240880,-240870,-0.7885692910033142,27.30829251490918,9281515799567050
-240870,-240850,-0.000379221345897658,0.013152214104139885,2233405176555
-240850,-240840,-0.056934901907928714,1.97758919595569,671133679735219
-240840,-240830,-0.07184416215777209,2.4979472397590987,847303651020767
-240830,-240820,-0.1164554142882888,4.053085210421263,1374119220820509
-240820,-240810,-0.5187546739094314,18.072671097530336,6124122775591650
-240810,-240800,-0.06834102929449021,2.383285718620445,807198819314806
-240800,-240790,-0.04746411983005935,1.6568923761262553,560895002676841
-240790,-240780,-8.379073702005113e-05,0.0029279196281448627,990670625234
-240780,-240770,-0.019418413234222543,0.6792210741311399,229701668871966
-240770,-240760,-2.4214014544810274,84.78099029779494,28657239085090854
-240760,-240750,-0.1734290440903545,6.078379188869912,2053555831245053
-240750,-240730,-0.033215463988466844,1.1658903067660973,196798010312082
-240730,-240710,-0.020193036826690047,0.7102112557782488,119761241608923
-240710,-240700,-0.02575381053010095,0.9071494029131544,305711561006440
-240700,-240690,-0.043435214651312275,1.5314878920546509,515857174215579
-240690,-240680,-9.225419371494198,325.60569016966576,109620242042938081
-240680,-240670,-0.012078148140111804,0.42671753841898136,143589316255715
