tick,price_1_per_0,liquidityNet,L_active_after_tick
-239600,39.33910396733599,120789689080632,829017661745407841
-239590,39.37846077862162,4693616940552795,833711278685960636
-239570,39.45729256416487,540901050900,833711819587011536
-239560,39.496767617246384,709808591134707,834421628178146243
-239550,39.536282163149494,56808054844413,834478436232990656
-239540,39.5758362413848,5106937584086,834483543170574742
-239530,39.61542989150242,1395132450681841,835878675621256583
-239510,39.694736065783,194014423552820,836072690044809403
-239500,39.73444866924421,436459375962212,836509149420771615
-239490,39.77420100318432,2074595167334911,838583744588106526
-239480,39.813993107351685,56956431712751986,895540176300858512
-239470,39.853825021534455,13789108824143631,909329285125002143
-239460,39.89369678556054,2143238162196,909331428363164339
-239450,39.93360843929773,4086726477450,909335515089641789
-239440,39.97356002265369,429144145995123,909764659235636912
-239430,40.01355157557602,128476160969009394,1038240820204646306
-239420,40.05358313805226,1153275370160050,1039394095574806356
-239410,40.09365475010999,49076564557353,1039443172139363709
-239400,40.13376645181682,6813732100719,1039449985871464428
-239390,40.17391828328043,1932788558568993,1041382774430033421
-239380,40.21411028464865,1018415114559,1041383792845147980
-239360,40.29461495789105,277536016940746,1041661328862088726
-239330,40.4156742480464,99431206694930,1041760760068783656
-239320,40.456108114198585,2551808504150,1041763311877287806
-239310,40.496582432417014,1946475537867951,1043709787415155757
-239300,40.53709724317196,4067564474727106,1047777351889882863
-239290,40.57765258697419,3943203441053,1047781295093323916
-239250,40.74028010429056,528600623616613,1048309895716940529
-239240,40.781038722410585,796210628396030,1049106106345336559
-239200,40.94448137269187,-106716001657679,1048999390343678880
-239190,40.98544428399538,1914142160486836,1050913532504165716
-239180,41.02644817664841,2055206209927910,1052968738714093626
-239170,41.06749309165077,5890257645682746,1058858996359776372
-239160,41.10857907004326,2992220281028479,1061851216640804851
-239140,41.19087438136728,23726684850137,1061874943325654988
-239130,41.23208379658589,3701197050861745,1065576140376516733
-239120,41.27333443976889,29348343183390,1065605488719700123
-239110,41.31462635216282,14573951833942,1065620062671534065
-239100,41.35595957505546,14960317325967,1065635022988860032
-239090,41.3973341497759,96085629263208,1065731108618123240
-239080,41.43875011769459,5084935857288317,1070816044475411557
-239070,41.48020752022335,354261821312466,1071170306296724023
-239050,41.56324679496562,-342387769542393,1070827918527181630
-239040,41.604828750210096,11791224466854,1070839709751648484
-239020,41.688117504334805,645429106546583,1071485138858195067
-239000,41.77157299431138,26164932028855,1071511303790223922
-238990,41.813363369527,4321594198391727,1075832897988615649
-238970,41.89706958934395,-1393371542115,1075831504617073534
-238960,41.93898551764313,10090153729976,1075841594770803510
-238950,41.98094338073781,15324068505548912,1091165663276352422
-238940,42.02294322058166,6234828234336077,1097400491510688499
-238930,42.06498507917033,176050328427051,1097576541839115550
-238910,42.149195020774776,993300419593991,1098569842258709541
-238890,42.23357354235736,960189058346752,1099530031317056293
-238880,42.27582612607672,448161907419600,1099978193224475893
-238870,42.31812098139854,-331954790188118,1099646238434287775
-238860,42.36045815061344,-6529655285,1099646231904632490
-238850,42.40283767605437,141220066372531,1099787451971005021
-238840,42.445259600096605,1406969387477,1099788858940392498
-238830,42.487723965157834,3653837708756678,1103442696649149176
-238820,42.530230813698196,4940551508294,1103447637200657470
-238810,42.57278018822027,-97768058187623,1103349869142469847
-238800,42.615372131269204,-54420253193567,1103295448889276280
-238790,42.65800668543267,116852657310689,1103412301546586969
-238780,42.70068389334095,20981011277042987,1124393312823629956
-238770,42.74340379766702,-63998749837314,1124329314073792642
-238760,42.786166441126504,2304374859761099,1126633688933553741
-238750,42.82897186647776,893874205663884,1127527563139217625
-238740,42.871820116521945,9559182142644942,1137086745281862567
-238730,42.91471123410304,6950001691997205,1144036746973859772
-238720,42.95764526210786,2043318169553878,1146080065143413650
-238710,43.00062224346615,21877722014782934,1167957787158196584
-238680,43.12981133760372,160927887335708,1168118715045532292
-238660,43.21615295610935,1822829615855972,1169941544661388264
-238650,43.259388561521135,8195744304234,1169949740405692498
-238640,43.30266742199954,10522891804704510,1180472632210397008
-238630,43.3459895808191,-116605189723414,1180356027020673594
-238620,43.38935508129765,-22511961713830,1180333515058959764
-238610,43.432763966796365,8922342519033702,1189255857577993466
-238600,43.47621628071979,5801039853039074,1195056897431032540
-238590,43.519712066515886,5812351564114391,1200869248995146931
-238580,43.56325136767611,86606898125225,1200955855893272156
-238570,43.6068342277354,358632259269545,1201314488152541701
-238560,43.65046069027227,11169947048566,1201325658099590267
-238550,43.694130798908816,20936984195727,1201346595083785994
-238540,43.7378445973108,1253266682231256,1202599861766017250
-238530,43.78160212918763,229485234045852,1202829347000063102
-238520,43.82540343829248,4857558941637,1202834204559004739
-238510,43.869248568422286,5676938769057111,1208511143328061850
-238500,43.91313756341779,-137439643301047,1208373703684760803
-238490,43.957070467163604,1663028434488345,1210036732119249148
-238480,44.001047323588246,349911906823250289,1559948638942499437
-238470,44.045068176664174,13743146154982761,1573691785097482198
-238460,44.08913307040785,1637985253958453,1575329770351440651
-238450,44.13324204887975,-337524877805,1575329432826562846
-238440,44.17739515618447,4947538456192,1575334380365019038
-238430,44.22159243647068,-37772227201,1575334342592791837
-238420,44.26583393393127,2045775525516686,1577380118118308523
-238410,44.31011969280329,28310928512567557,1605691046630876080
-238390,44.39882417195132,391665465350115,1606082712096226195
-238380,44.44324298092293,1966763615666069,1608049475711892264
-238370,44.48770622869731,53543183403454345,1661592659115346609
-238300,44.80019698974507,3154693093513055,1664747352208859664
-238290,44.845017352200415,2411800503866673,1667159152712726337
-238280,44.88988255519276,265838381252142,1667424991093978479
-238270,44.93479264358283,27327392807049147,1694752383901027626
-238260,44.97974766227622,36380759270665919,1731133143171693545
-238250,45.024747656223454,60223933893985377,1791357077065678922
-238240,45.069792670420036,-11043395234587,1791346033670444335
-238230,45.11488274990647,30599779620074,1791376633450064409
-238220,45.16001793976834,-26940947312,1791376606509117097
-238210,45.205198285136326,991901282906749,1792368507792023846
-238200,45.25042383118627,1005088714247254,1793373596506271100
-238190,45.29569462313917,7464021032914142,1800837617539185242
-238180,45.341010706261315,653007891878761,1801490625431064003
-238170,45.38637212586426,10355286563062271,1811845911994126274
-238160,45.4317789273049,291635240162916,1812137547234289190
-238150,45.477231155985486,-404378859321970,1811733168374967220
-238140,45.522728857353705,242792492813163,1811975960867780383
-238130,45.56827207690272,12101215479962301,1824077176347742684
-238120,45.61386086017121,170998744997147233,1995075921344889917
-238110,45.65949525274338,48960875553331132,2044036796898221049
-238100,45.70517530024908,-418910748063130,2043617886150157919
-238090,45.750901048363794,1745664769914946,2045363550920072865
-238080,45.79667254280869,5925733595793618,2051289284515866483
-238070,45.842489829350704,805511039940960,2052094795555807443
-238060,45.88835295380253,-2256970649,2052094793298836794
-238050,45.934261962022724,-78539927778516,2052016253371058278
-238040,45.9802168999157,42047426429017315,2094063679800075593
-238030,46.02621781343181,102064455220942,2094165744255296535
-238020,46.07226474856737,-453610104463891,2093712134150832644
-238000,46.16449686791222,4502425665581083,2098214559816413727
-237990,46.21068214434443,-710078651867944,2097504481164545783
-237980,46.256913626841985,-534348025831829,2096970133138713954
-237970,46.303191361631754,-6421746253345,2096963711392460609
-237960,46.34951539498685,2633839163737244,2099597550556197853
-237950,46.395885773226674,12501951354417038,2112099501910614891
-237930,46.488765749869884,604347482043627,2112703849392658518
-237910,46.58183166304426,576022371440153,2113279871764098671
-237890,46.67508388497637,24698462585364584,2137978334349463255
-237870,46.76852278863791,1860682527660858,2139839016877124113
-237860,46.815312362875,21691321003897,2139860708198128010
-237840,46.909031990086376,37138293160074602,2176999001358202612
-237830,46.95596213677092,-3653837708756678,2173345163649445934
-237820,47.00293923472635,-25471676342502019,2147873487306943915
-237810,47.04996333092507,-119875163032494,2147753612143911421
-237790,47.14415270617699,-81269969290504,2147672342174620917
-237780,47.19131807941017,3113006813062237,2150785348987683154
-237770,47.23853063924666,-14067950481405,2150771281037201749
-237760,47.28579043289431,-94309072655332,2150676971964546417
-237740,47.380451910690624,10564917133945478,2161241889098491895
-237730,47.42785368949132,-308207496888589,2160933681601603306
-237720,47.4753028914073,-659819982903731,2160273861618699575
-237710,47.52279956388304,-3194493169041286,2157079368449658289
-237700,47.57034375441046,-820282695279003,2156259085754379286
-237690,47.617935510528994,-13590399874369151,2142668685880010135
-237670,47.713261909935035,-3819879524148,2142664866000485987
-237660,47.76099664853942,-4515853537459,2142660350146948528
-237640,47.8566094422008,248545362016390,2142908895508964918
-237630,47.904487592861045,-2294991130168630,2140613904378796288
-237620,47.95241364322286,-1159407604852545,2139454496773943743
-237610,48.00038764120752,-4026687188901155,2135427809585042588
-237600,48.04840963478421,36000190833717,2135463809775876305
-237590,48.096479671970144,6421818405861457,2141885628181737762
-237580,48.144597800830546,-2137667272964,2141883490514464798
-237570,48.19276406947875,-128045031603444,2141755445482861354
-237560,48.2409785260762,-18538550618717,2141736906932242637
-237550,48.28924121883254,-2592539670785,2141734314392571852
-237530,48.385911505901646,-750566498700001,2140983747893871851
-237500,48.53127991571385,-5675981633708021,2135307766260163830
-237490,48.579833040530296,-1155414669202146,2134152351590961684
-237480,48.62843474032629,-1005088714247254,2133147262876714430
-237470,48.677085063698684,-13177701374376342,2119969561502338088
-237460,48.72578405929293,-831456390629091,2119138105111708997
-237450,48.774531775803155,-246918859299954,2118891186252409043
-237440,48.823328261972215,-4234769644867645,2114656416607541398
-237430,48.87217356659173,1131646502367623,2115788063109909021
-237420,48.92106773850211,-1918957719166044,2113869105390742977
-237400,49.01900287980153,4536391741849753,2118405497132592730
-237390,49.06804394711593,-6679879453920062,2111725617678672668
-237370,49.166273320255,452960065806339,2112178577744479007
-237360,49.21546172429924,-106522504262450296,2005656073482028711
-237350,49.26469933888819,-543630608014432,2005112442874014279
-237340,49.31398621325458,-277536016940746,2004834906857073533
-237320,49.41270793849672,-398691946744980,2004436214910328553
-237300,49.51162729487323,-535954359290154,2003900260551038399
-237290,49.56116120834282,-6783690864810843,1997116569686227556
-237280,49.61074467802207,143579829077745,1997260149515305301
-237270,49.66037775348953,-388710865194334,1996871438650110967
-237260,49.71006048437329,-72057838962189845,1924813599687921122
-237250,49.759792920351124,-247172470433002,1924566427217488120
-237240,49.8095751111505,-164139796126132,1924402287421361988
-237230,49.859407106548645,97184727994253,1924499472149356241
-237220,49.90928895637256,-189043199576142,1924310428949780099
-237200,50.00920241885509,-37507336444566687,1886803092505213412
-237190,50.059234131417185,-874905682160351,1885928186823053061
-237180,50.10931589821211,-723852939519178,1885204333883533883
-237170,50.15944776931665,-28584831330787184,1856619502552746699
-237160,50.20962979485764,-30802118986850,1856588700433759849
-237150,50.259862025012104,-150640821633299364,1705947878800460485
-237140,50.31014451000726,-58338866820218,1705889539933640267
-237130,50.36047730012057,-7290049950852545,1698599489982787722
-237120,50.41086044567979,-351783003601675,1698247706979186047
-237110,50.461293997063024,-51458535096926340,1646789171882259707
-237100,50.51177800469879,-91074435806746822,1555714736075512885
-237090,50.56231251906607,-384443210549954,1555330292864962931
-237080,50.6128975906943,-760949199533681,1554569343665429250
-237070,50.66353327016351,-11375007029213757,1543194336636215493
-237060,50.71421960810433,-643234193369943,1542551102442845550
-237050,50.76495665519803,-183521273150031,1542367581169695519
-237020,50.917472558969976,-269768055417823,1542097813114277696
-237010,50.96841295050275,1082141114165807,1543179954228443503
-237000,51.01940430535636,-16649544883060386,1526530409345383117
-236990,51.07044667451705,-5149945149667184,1521380464195715933
-236980,51.121540109022085,-4611316276101545,1516769147919614388
-236970,51.17268465995981,-175707647850317,1516593440271764071
-236960,51.22388037846966,-847303651020767,1515746136620743304
-236940,51.32642552301936,2391768642216,1515748528389385520
-236930,51.3777750515941,-10475170130901255,1505273358258484265
-236920,51.42917595281088,-671133679735219,1504602224578749046
-236910,51.48062827806544,-582653944014221,1504019570634734825
-236900,51.532132078804985,-462950424663380,1503556620210071445
-236880,51.63529431278514,-29351034947188,1503527269175124257
-236870,51.68695284917768,-5806284365101,1503521462890759156
-236850,51.79042501903461,-1606160467604967,1501915302423154189
-236840,51.842238755960835,-6633316198819913,1495281986224334276
-236810,51.997991196588934,-32594148913745524,1462687837310588752
-236800,52.050012593122396,-1684113725022689,1461003723585566063
-236780,52.154211572694805,12542377764136,1461016265963330199
-236770,52.2063892599223,-364675850733474,1460651590112596725
-236760,52.25861914832325,-1537318498188950,1459114271614407775
-236750,52.31090129012231,-297319155284779,1458816952459122996
-236730,52.41562254307478,-3697104707515812,1455119847751607184
-236720,52.468061758938966,-5739021325754288,1449380826425852896
-236710,52.52055343762296,-2491889026155728,1446888937399697168
-236700,52.573097631613194,-8812952913591,1446880124446783577
-236690,52.62569439344861,-87698819921482,1446792425626862095
-236670,52.73104583107364,-25744185299608,1446766681441562487
